,talentId,platformId,type,followers,Avg View Through Rate,Avg Engagement Rate
446,18b7219a-6416-4e04-bf4c-46b7e3bd874a,208621205,video,79472,5.19%,0.46%
448,18c81a22-8530-4d91-a0ed-df832404fdd9,1266388223,video,66805,1.60%,0.32%
450,18f4411c-ffee-484f-a61d-2349920a99b8,384196186,video,28230,0.77%,0.11%
452,190f4f95-f1e6-43c2-a2cb-e3fcd318972b,204795157,video,51389,5.25%,0.90%
454,194dad9a-18d2-43ef-aa18-a1e3944a3e0f,12741406,video,78099,9.08%,1.83%
458,1a2eb0a7-706b-42a5-989c-e75f52be6d70,216218073,video,21123,9.89%,2.10%
461,1a9f0e32-fd81-44be-bbbd-996a01a17020,266923299,video,20265,10.23%,3.03%
463,1ab1ec99-f9c9-461b-8b82-4fc328f5ad14,1691691791,video,39910,13.76%,3.82%
465,1ac429f9-792b-4ef6-b9a6-28e0fd90010a,15186113,video,52513,20.17%,1.92%
467,1b24dd96-4337-4eef-8cee-e2a9459876fa,2239699044,video,38872,127.12%,7.12%
469,1b4a3121-b0fd-4016-a32f-adb2d18b71b8,30986202,video,28043,11.64%,1.91%
472,1b7f131b-2ddb-4978-a558-897533c8d406,413350235,video,52648,0.62%,0.20%
474,1ba95205-913c-4644-a56d-0ee397cef6b8,461145189,video,40309,17.71%,4.02%
476,1bfdb56d-6a70-4017-84b9-296dabf4abfe,9416031,video,43163,20.52%,2.47%
478,1c1c0265-6188-46a8-9442-f723a400a561,2111932156,video,56231,17.70%,2.54%
480,1c308a7b-f363-457f-bda6-968344730cc2,2309373206,video,33454,26.36%,2.30%
482,1c4e8a96-a1bc-4af6-8932-ee9a902d5638,218418935,video,40905,9.43%,0.89%
484,1c50649b-5783-4ad6-acf0-a08d97e9e6eb,23146269,video,48886,18.90%,2.00%
486,1c70c585-9bea-4d29-85f6-633a8149e91b,1770052880,video,28213,21.90%,3.57%
488,1c7c94f8-9a4b-4016-aa35-19e62f49c0b7,594255377,video,80406,7.81%,0.32%
489,1cc00ae9-6889-42f2-8fd0-4c332fb3e908,2079076488,video,30377,2.16%,0.78%
492,1d457de2-cacb-4b80-a271-37b944121176,370125910,video,24735,8.34%,1.48%
493,1d5319ba-d169-4b10-a329-a3d6c5be0f02,836803865,video,56701,21.04%,2.95%
495,1d9b154e-ba2f-4189-ab09-a097a455ffc3,306621037,video,25862,19.44%,1.05%
497,1da05019-9fc6-46d6-8716-0ef2efcbddc5,301613030,video,26332,1.52%,0.43%
498,1db4bc8a-df79-438f-bd35-a3aed5592990,581736013,video,47387,36.89%,4.35%
