,talentId,platformId,type,followers,Avg View Through Rate,Avg Engagement Rate
3948,6577a439-2280-4d20-b1c5-70c93bfea698,482380233,video,379842,1.76%,0.31%
3950,65e097c9-3ffb-4af8-9c67-5b7c249324be,684754573,video,386799,13.73%,1.45%
3952,662899b8-01ae-44d0-a7d0-620c86af6fae,256447260,video,413995,22.63%,2.80%
3954,66d11936-db71-43e0-b309-c9e9745c2fdb,33080978,video,340410,2.80%,0.51%
3956,67faa3c5-2ae6-45bb-8759-80a0b8baea8b,7062616,video,496816,6.45%,1.30%
3958,694de491-0354-4bf2-a5aa-cb79f86f5fa4,347326271,video,347039,5.14%,0.74%
3960,6975beed-0f3f-4dee-94e4-ce6c1cb73a99,201996539,video,355903,5.09%,0.64%
3962,6a72974a-44af-4d05-8a15-bd47d2e3de13,263344136,video,341816,4.30%,0.34%
3964,6b65ce3b-c5c6-4d69-833e-1ef11ef48591,196753164,video,339117,9.80%,1.26%
3966,6c8670b4-49f1-4dab-bcc1-afbedfc3c8d5,1361068839,video,411821,12.61%,2.49%
3969,6f3c6a19-44ad-4d8e-8b58-182655458834,23304709,video,310483,10.34%,0.98%
3971,7186faea-0cda-4744-84f0-d778ca7f0d0c,273039615,video,346751,6.45%,0.83%
3973,74c066b4-0079-4631-88cc-a4a34a4a5c21,616763767,video,323031,63.94%,13.88%
3975,74e5a910-ae91-432b-9a77-5b2f4a8ce27a,284726437,video,404359,35.25%,0.88%
3977,76a74ad5-1c9e-4695-9624-d023142311d2,1818852017,video,381106,61.30%,2.67%
3979,77aa5b49-0ace-423b-beb4-2861f89eaf2f,741562424,video,321248,1.43%,0.12%
3981,7bd721a5-9672-4465-b1a2-f4a7270b2f6c,179714506,video,321423,15.95%,2.08%
3983,7c4a1574-fbe3-452d-a7af-ddb44fd75104,418573161,video,432805,11.86%,0.90%
3985,7d35c980-de99-4d94-83a9-d24feaa5f257,2111016973,video,409063,6.05%,0.99%
3987,7db07bc7-3089-49b2-ba9a-fb60e9c157e7,264340054,video,409057,2.55%,0.21%
3990,7e2f5c6a-7ed9-493a-95ac-b839ec0a67ec,1502243034,video,309926,23.56%,3.30%
3992,802d247f-2cf5-492a-8ff1-4268fbbc0c7e,145104332,video,312019,20.55%,2.02%
3994,80598eaa-e7ba-4dc3-a615-0de973bf13e6,268437848,video,402508,6.79%,0.98%
3996,816e3fc6-ec35-4109-bf6a-02f59c11e565,2178022926,video,308534,5.64%,1.60%
3998,83737e79-1259-40bc-9654-ee03e3a22692,430725604,video,356876,6.79%,1.07%
4000,838a88f5-a7a4-470b-9bc1-755ec17a782e,1476719377,video,406323,9.54%,0.96%
4002,861c72aa-ad1d-4ae9-9477-1fbe01f9017e,255635096,video,320239,19.18%,0.77%
4004,86511269-c743-4069-9f48-cc2baf2257bb,1371169849,video,482865,35.30%,5.10%
4006,8674dc04-b201-40a0-9b30-cdbc429815ec,255731390,video,379198,8.83%,0.50%
4008,86dafcef-3670-4156-ad99-3dde282039bc,682109938,video,466346,15.38%,2.98%
4010,8919897e-8ebf-4d4d-ad9f-0fda4954f98c,345786266,video,349255,28.61%,1.90%
4012,8ab356e6-d2c0-4cd1-806f-eaaaf64821a4,393202657,video,429048,14.14%,2.05%
4014,8b7582af-696a-4675-855a-e347fc26daec,3514420150,video,347524,9.62%,0.59%
4016,8bb584cf-6e69-4e18-a601-3cd73829cf38,1327265539,video,429154,7.84%,1.26%
4019,8c62946c-2301-4965-a4e1-96ed191c33bb,510469717,video,323107,6.67%,0.69%
4021,8db6a109-3d4a-4410-94b1-4df039c0836a,850034566,video,393896,14.04%,2.81%
4023,8eac237c-eec7-4e73-ab76-8274db27a377,203120994,video,376589,9.45%,1.21%
4026,903158ba-94cc-4ce2-adc5-eba7dd99083b,394774609,video,343670,15.08%,1.15%
4028,92058a99-4f27-4d1a-a843-bad78fe6b44f,221715428,video,310873,3.26%,0.16%
4030,93194286-8661-47d0-bc83-f0bb331eb7ff,1710059097,video,413054,65.94%,3.79%
4032,94aa4ede-71d5-4b73-ae62-1f42c9202457,245704597,video,308680,63.77%,4.57%
4034,958ce7e9-32ba-43f0-8053-0f9a9a708c83,47788288,video,412262,4.59%,0.36%
4036,97d7b8f0-ee05-4d59-9450-ad7404705fbf,2135340187,video,451591,13.04%,2.09%
4038,98fe22f0-b4eb-4cca-b1f9-8cdb55a94282,312633737,video,478467,3.85%,0.69%
4040,99617540-50ff-4c21-b0aa-5bd62d0ee2ab,257060274,video,478015,4.92%,0.49%
4042,9979a2e8-05dc-4eea-9fe5-1d22cd538082,263896379,video,324803,35.49%,6.46%
4044,9ad98da1-050d-42f9-8404-7642fb3be8fe,298607217,video,301976,5.28%,0.63%
4047,9b4296ac-984e-4544-8fbd-4c703a183c17,224941796,video,390857,11.62%,0.58%
4049,9bc1ecaa-cc7b-4725-b72f-c2880333c3c0,295763516,video,318945,6.21%,0.57%
4051,9cef7b95-281d-450d-ad09-3fc5c25d0df7,646188839,video,317497,70.24%,8.94%
4053,9d213682-c0b2-4096-a8f5-8d4cc62279ca,1937729433,video,352117,3.63%,1.94%
4055,9e327175-d564-41f9-aa54-cb279af7e4bf,1584031973,video,338445,73.89%,13.60%
4057,9e83204c-9fd8-4d2a-98be-e66d209f2f1d,1638253897,video,386375,14.36%,1.36%
4059,9ec4b123-deb6-45cd-ab03-c1d9f5f9050f,55752766,video,316152,11.27%,1.23%
4061,9f41168b-6bc1-4fec-b3be-7824674aac66,390903433,video,482272,23.80%,2.60%
4063,9f727c66-4094-4235-97c0-5686f5f33d4b,197924948,video,314230,5.30%,0.22%
4065,a0db9fb0-5e7f-4483-8a33-7bc79ca9eccd,1313573974,video,404115,17.02%,2.67%
4067,a3819eb7-eb78-4a3a-847c-0bcc2ae8f160,435262575,video,309884,27.62%,3.09%
4069,a559b195-0e31-4a86-a4a8-3d6b1fa6d565,5533920220,video,481100,61.95%,8.12%
4071,a6d2c03c-8663-42e9-8daf-bb7d91d1806c,1650929823,video,309044,23.89%,2.57%
4073,a8214145-068a-4f99-b1e6-da2e27661562,2930806583,video,492990,12.37%,1.27%
4076,a94cfaab-2f8d-495b-82ed-7a15ed425891,229372879,video,318956,29.17%,1.36%
4078,a97fb70e-e26b-43bf-bb52-288c6039d3cc,13322877,video,350210,8.76%,1.16%
4080,ac83dac6-3536-4d26-94d1-33755ca93e27,851050589,video,360792,10.39%,0.80%
4082,aced9248-f7bb-4c08-a0b2-59f72fb37b91,408836933,video,384010,5.40%,0.56%
4084,b480a144-97d2-45f7-a3d7-4ea1bdb07a45,223900534,video,359870,192.09%,5.42%
4087,b5d5e043-27df-424b-bcd2-db8c5444bc4c,2173287282,video,372520,40.54%,3.14%
4089,b8a6ac28-7750-40f6-9187-8e74288a120c,607077201,video,301931,12.78%,1.49%
4091,ba9ecbe6-8c03-4df7-a3c8-88ca2c3f2e43,248731524,video,335764,16.47%,1.20%
4093,bb660c50-b7a1-4cae-a63f-e6fc9b15efd5,3320573182,video,324668,57.29%,5.11%
4095,bc195cd0-f592-4646-bba0-3a664aed52d3,386403643,video,499291,21.48%,2.28%
4097,bc1ed3a1-ccfe-46d5-993f-7440b62557f7,213017650,video,359736,88.90%,8.17%
4099,bcbe2f96-f103-4cb6-b9bf-3e8da1cd2ec7,403260859,video,347857,5.70%,0.79%
4101,bdb2b9c8-6843-4f1a-ae8d-b46ac3fd3b70,379468654,video,355200,28.92%,3.13%
4103,be0f7b71-e049-4ba5-9145-50294f068469,194931026,video,488376,39.62%,2.91%
4106,c1b0814b-2f28-4541-a802-92aacd07bf92,222519482,video,496646,49.93%,3.98%
4108,c4cfc7fb-afd7-4bf8-bb2a-7b401e51d029,143775914,video,311529,10.04%,0.55%
4110,c732bc2d-080d-4ea2-84e8-87d2f31b37aa,223462997,video,367858,3.16%,0.35%
4112,c7bafbd4-0718-46c1-aab2-7afe813be5fa,531737171,video,426565,5.97%,0.24%
4115,cc2cc652-c5f5-4bf3-a47d-75e1ebafb09d,476183410,video,414831,16.22%,0.66%
4117,cdfda397-aa98-4eeb-bdee-65d2d44184fd,546701504,video,456712,5.96%,0.48%
4118,d028a348-051d-4fb1-af86-d6ceb81e5791,1117763503,video,305851,62.26%,6.24%
4120,d0b00a84-7f0c-4fa7-bf14-0a05137611a7,648916388,video,484059,13.93%,1.90%
4122,d205b7ae-d095-4c90-98af-c47594c6bcfc,2007700103,video,425251,74.41%,6.25%
4124,d27151ab-8a28-47c5-aff9-75ca45596b9c,1272262744,video,470696,11.81%,0.89%
4126,d4b3eb00-fdcb-4439-855b-f32eb1ea83d4,905666127,video,380495,48.72%,3.43%
4128,d95697de-08e3-4d25-88a7-4ad22f87972a,1315685286,video,474906,8.08%,0.63%
4132,ddd940cf-7c50-4981-8e88-b1859d78a269,146133317,video,397191,9.30%,0.63%
4134,de5e9ecf-6950-4cd1-a0dd-f524a55766b5,177287618,video,316780,13.02%,1.78%
4136,de7273e3-657b-497c-89e4-e3e44963b431,442437333,video,362072,26.94%,1.26%
4138,dee263e3-533d-439e-ba7d-14cb0f086e44,1531674341,video,456527,6.42%,1.15%
4140,e2a9088e-52de-48ed-b525-ec8092f92337,218325439,video,448869,29.13%,2.58%
4142,e31a1fea-7018-40ef-83f7-5f13136038dc,26847816,video,332016,12.51%,2.18%
4144,e321481c-051e-4c63-84b9-4814b668a850,1199343438,video,339420,8.38%,0.57%
4147,e44d3565-802d-47e4-a19e-d4b949f225fe,262273676,video,324707,50.01%,3.14%
4149,e62b041e-9aa9-42ad-84b5-0c114f3d6dc7,2144034256,video,321027,6.52%,0.20%
4152,e930f08e-6029-41ee-924c-984d24209be8,456217464,video,481017,108.72%,3.83%
4154,eaec6848-fb15-414d-a0e5-38a4b43f4340,272889286,video,354606,22.67%,1.49%
4156,eb33906c-ef09-4720-b2cd-6fbbbd261a04,280119623,video,339173,30.32%,2.50%
4158,eb5563a9-a05d-4fe7-a288-f534c40e5506,1213751982,video,371929,12.69%,1.37%
4160,ebe8f116-92fd-43aa-99f8-2ada077b0b76,175351046,video,348501,1.41%,0.04%
4162,ebf3153b-55d2-4f30-a50f-10c30c2a0307,1067609303,video,367549,43.61%,3.02%
4164,ed9efdda-c167-432c-954e-22d7da8908d1,1713406604,video,334902,6.94%,0.79%
4166,edeb46fe-09af-4706-9529-909c059af3b1,1688842899,video,326448,2.74%,0.42%
4168,eee848d1-8139-462c-b3f0-af608ac4dfc7,918107322,video,426697,22.16%,1.72%
4170,f0437a21-8ddd-4845-b321-58ae0af054bd,7934078,video,422524,18.11%,1.12%
4172,f340c234-563e-42dc-a674-57d7b600731a,1373926341,video,438226,2.94%,0.30%
4173,f3a6e8c4-fbc8-4882-b955-9ed2ab627b72,39954778,video,391887,14.10%,1.62%
4174,f3ca6e7c-e44b-4253-bcb2-04c99349ad81,3109242372,video,352182,15.83%,2.17%
4176,f3d70dce-e1f8-4ead-a7b9-e83c20ab0ef5,2829926,video,330815,4.57%,0.34%
4178,f53e6f0a-3fab-450e-b7c4-1da5bbb4e60f,461701261,video,470369,21.97%,0.95%
4180,f57d2205-077a-4049-8c80-7f33823ca20b,402465328,video,428304,5.78%,0.58%
4182,f7658a11-c69f-4f3e-a8cf-5406f37609e5,470930954,video,334742,19.85%,1.06%
4184,f83b6479-1c8e-46c2-a92c-4224a4c384ba,399909305,video,444563,5.76%,1.09%
4186,f8ae5166-8359-4ac9-960b-b537ef6de087,347270135,video,311031,22.21%,1.70%
4188,f99576b0-ee7d-4f66-96f3-86790b787909,490665906,video,426468,3.91%,0.32%
4190,fa5a160e-43e0-40a4-b93c-b77d9cfc6b55,306154259,video,303652,6.73%,1.54%
4192,faea83c1-c639-419a-98ed-69cc1f584a3c,2322427505,video,348923,3.61%,0.22%
4194,fafac8fc-1075-4862-b74f-e7df125c6389,13636878,video,342013,7.17%,0.76%
4198,fca5256f-a75d-411e-bf41-5410ecffae51,19949584,video,492986,20.99%,1.02%
4201,00ba4190-3c93-4a81-911e-47d1a6f72fb1,245834438,video,895197,7.05%,1.00%
4203,02f43cf0-c5b1-41e6-8738-f57b4c2a34bf,175750659,video,963857,2.22%,0.12%
4205,033ca1a5-f1ba-4bba-b3e3-665639ecb1fc,610366061,video,812387,9.76%,2.71%
4207,03ee47b2-9d1c-4929-b7de-ca41df8c942d,1176570600,video,780386,8.08%,1.19%
4210,06cb708b-97db-42bc-8458-e581a4604cb9,45337082,video,533218,1.83%,0.23%
4213,076fb26a-95da-4e22-9cfb-37c9e000e6c3,658134362,video,783667,8.39%,1.53%
4215,09612e24-3583-4da4-8405-7088f74a3aa5,594073685,video,525341,6.96%,0.76%
4217,09e524c3-8ba2-447b-b522-2f3aff848be5,253534914,video,555406,5.77%,0.70%
4218,0b5f73a2-2bc5-47a8-b9d8-071b622f199e,414132415,video,944663,7.52%,1.36%
4220,0badd7fe-678a-4109-9c18-5f7eaec4566d,325440719,video,519187,12.57%,3.81%
4223,0dada2a2-e77c-4fce-a5a0-17c4454396f2,29717512,video,587362,27.00%,1.62%
4225,0dc0bd4c-d81c-4550-9d25-d3963cd254db,1611249995,video,617252,5.58%,0.55%
4228,0f6cfe4f-f5d8-4fc2-ba16-35e82e3fdb3f,280855577,video,558196,22.01%,1.98%
4230,11ab5059-bd45-4d55-bb8d-6b5a3ae0667c,204980047,video,679505,8.40%,0.38%
4232,11f78052-df60-4740-99b4-bd795f65b89d,449805628,video,951056,10.76%,1.40%
4234,135f1f81-20e5-40e3-bfcd-2096e97ef98b,321059705,video,790548,54.70%,3.80%
4236,1378aa22-a689-4e9b-b644-0bdad6ab5352,55807022,video,549583,20.53%,1.98%
4239,151e9824-9e2b-4743-92b6-859e30ae5947,206573592,video,578974,9.00%,0.65%
4241,17b724ab-5b32-46b2-80f8-63b18224db8b,209324552,video,500832,22.28%,1.85%
4245,1b3a6b69-5c69-417a-bbb7-39ec743ffbde,294445568,video,564805,21.76%,1.49%
4247,1e622652-46fe-4899-bf9b-8bc4a9fb4ae5,341027706,video,908100,14.11%,1.48%
4249,1e822b72-5a20-44bb-9cee-74588d0b08c6,239009796,video,631034,18.65%,1.41%
4252,1f51249d-b549-4c90-8c6f-71ef7820dc89,1297273674,video,575298,5.05%,0.36%
4254,20876d43-a819-4e65-bdbb-f80582994ce1,358551958,video,551900,50.68%,12.97%
4257,2198fc91-e33b-432b-9de2-b7bce3afd5c8,192282127,video,581444,10.40%,1.07%
4259,223f6f1c-0812-4b22-bf9f-9215cfe25665,183667659,video,766721,4.14%,0.38%
4260,2330e45a-0750-4066-9f5b-d4b2799dc970,1370576457,video,565361,2.47%,0.38%
4262,236a3993-be4e-43de-851a-2a0003fdff34,344781744,video,512855,32.00%,1.46%
4264,243890bc-bb3a-4ee2-ab51-e34ea726e26b,219911939,video,569942,6.66%,0.50%
4266,25092a9e-999b-455c-a61f-6848a350bf12,1334196044,video,919818,8.85%,1.31%
4268,251e8435-531a-4df9-8156-e36c8482cf4d,185669488,video,565483,17.74%,3.32%
4270,25a59ce3-40d7-42c3-ac63-59129ba99580,552197038,video,875279,3.08%,0.41%
4272,266f4314-a085-47a1-ab3c-0d96ec8dfd66,280098278,video,570823,6.48%,0.40%
4274,2934b766-dc57-4ed3-94fa-75766bfd8b1c,43141627,video,560600,10.30%,1.20%
4276,2976ec5d-ee8e-4e33-bacd-a8cc34cfccc0,534606666,video,888928,3.55%,0.37%
4278,2ba6c3bd-93e3-4866-9e96-99400bff1e26,1596985448,video,532586,86.26%,14.09%
4281,2f41d608-853c-4434-9d53-68265e3bb601,406604139,video,707544,13.19%,0.94%
4283,2f5be421-5dbd-4508-bbf4-56847c377dd7,22836186,video,785606,78.67%,5.96%
4285,2f64974f-17b4-482a-89c5-da5f4a181642,1141190767,video,651276,10.02%,0.27%
4288,32645db5-0b5f-43b5-b15f-8d8747e9e68f,1180354506,video,691894,37.46%,3.94%
4290,328229c2-0093-49ce-ba9e-f02aa8b1fa4e,316425094,video,785435,8.33%,0.37%
4292,338db238-94d6-42db-9904-6ef84ff58bae,859028795,video,712525,4.31%,0.69%
4294,35def6f3-67e0-4fe1-a11b-17f45d17213d,258190837,video,997310,11.30%,1.30%
4296,376bd006-66be-4b3b-8bb9-c0e8d98fc184,219500987,video,511581,2.89%,0.44%
4298,38287a40-99c7-466f-9615-b850e0f86275,1395232513,video,763095,12.13%,2.31%
4300,38a1df06-306b-49ef-8a28-2109eb2dbdb0,1432733701,video,938442,6.06%,0.38%
4302,392b021b-ad39-4b3a-811e-781990ca69da,491998825,video,904411,47.27%,6.36%
4307,3ef49ec4-032c-4f49-9ddd-7beda2a011a1,568470210,video,630921,58.10%,12.62%
4310,4166cff6-ad50-4e0e-9311-4d0ae8bdd79c,1542906961,video,826380,20.78%,3.08%
4312,423b163f-8aec-42f6-87d8-a3de8ce54d03,504348774,video,697686,13.28%,1.47%
4314,424ef6d9-2738-4d83-bedd-576e1901fd04,48129649,video,580000,19.30%,0.34%
4316,42a0180f-17fe-4e34-a0e2-33716e10450b,1110639130,video,647423,15.50%,1.35%
4318,434cead4-7dfe-4be3-9fe2-d990fb66ed2b,231374764,video,702726,1.50%,0.20%
4320,4705cdcf-b18d-48b0-bb22-c1b378c82060,324069954,video,868360,22.04%,1.13%
4322,4aef1a7b-4d35-4947-81ea-ceaa23d627a8,4496567675,video,687104,5.22%,0.61%
4325,4e3137a5-e137-4634-b629-2d9f40790067,315388206,video,766096,5.96%,0.28%
4327,4efce37f-9c00-4c15-af32-8e744f0d6fe2,1480158091,video,637966,12.75%,2.58%
4329,50f2f740-64d2-414d-8996-e73db44ac069,1497211371,video,995875,5.08%,0.57%
4331,54b8e4f3-4a74-4dcf-be10-8b10431c480b,1477004611,video,824724,27.97%,2.62%
4333,55f88714-15bb-4d10-83a9-cdd95aa88660,2119495428,video,573898,7.95%,1.31%
4335,5a2dd02e-679b-4c83-9288-d3a8c680c278,2175614445,video,542042,74.92%,6.24%
4338,5bad7f3b-c332-4065-84bd-2ba6c82ac094,188170388,video,908645,11.90%,1.74%
4340,5bbbe538-305e-4158-9c07-06188514985d,3576821716,video,572715,34.30%,2.47%
4342,5bec1f4b-66bd-4d66-841d-0fcdd5c8dcf2,430753067,video,830048,9.09%,0.85%
4344,5bed5655-b83e-428f-b20c-df79bb775fab,283604867,video,559505,35.30%,1.60%
4346,5c00b45d-aae6-496d-aaf7-aeaf36a97f4b,993317281,video,756416,2.35%,0.39%
4348,5c346e6e-76b8-4db2-905c-9cd91776c3bd,729058641,video,548218,8.78%,0.77%
4350,5e832bef-b704-4bee-a83c-9a5582d4259f,29416948,video,680883,0.67%,0.11%
4352,5ec64292-e516-41c7-89d0-47a2d50a2fad,1327846721,video,632004,5.12%,0.92%
4354,5eea02bb-db41-4153-a461-a8a2c336b0db,254333676,video,631107,23.84%,4.90%
4356,6199a0de-ac70-4389-b311-4869cbe8b839,1542935061,video,635788,17.50%,1.64%
4358,626cf9f6-f8f0-43ac-82b9-e144d3452a19,1527907827,video,680120,9.53%,1.17%
4360,63aa3839-01a0-4676-955e-bd94c2be2153,1956558217,video,851767,43.19%,7.91%
4362,64c2d18f-8701-43f1-9fe9-0395a8441acc,339438211,video,724351,17.02%,2.47%
4364,650d41a9-95a6-41bb-a1da-1dfc1fd0c6d3,602002813,video,654424,0.98%,0.11%
4366,6534439d-501a-4ef8-9602-31971398be5e,2072088072,video,680898,24.15%,1.66%
4368,654eaef6-6355-4912-83d9-a192226dc577,337250643,video,881896,47.51%,2.47%
4370,674be6d8-e615-4ada-aa9a-920cb6af1e0c,243193655,video,631517,65.83%,4.65%
4372,6a58a100-7c22-4a9c-9fa1-da939a7e425a,1904882,video,676707,9.75%,0.68%
4374,6a7e1e62-222e-4b8e-8cd6-46469dfbb67d,249152861,video,603164,9.81%,0.87%
4376,6dceca10-5b37-4adc-815a-aebdfd4ecba0,276107579,video,535710,9.57%,1.58%
4378,6e0c5988-9b45-4817-ab3f-8a3fd818b1e2,5988838948,video,641241,15.45%,3.16%
4379,6e449243-980c-4108-918d-c073647c044e,286315480,video,523631,27.35%,4.28%
4381,6e8700ff-422e-4cfa-90bd-b57f2f8f6233,1232648581,video,711851,40.20%,9.53%
4383,711e786e-c490-48bd-9ea3-680a02d22c6f,231724820,video,659441,2.17%,0.25%
4385,711fea90-7150-4c5a-8b1b-729ba19b8ff2,205260550,video,625667,15.47%,0.60%
4387,72bd4f48-ac22-4e87-806f-da19b096a4ba,2035331577,video,906929,92.60%,1.33%
4389,735e46c8-81ba-401f-b171-0c413ee7557d,205506546,video,686854,10.34%,1.04%
4392,74344d7a-df1d-44cf-8f24-3ac1ea0cf169,970638128,video,694220,9.19%,0.49%
4394,7a0c8283-1505-4fec-a961-010285ff5e04,417188647,video,850615,16.98%,2.77%
4396,7a3311fd-4d00-4e53-89fa-d5d22a80a022,1737163909,video,760365,5.42%,0.86%
4398,7a5dc213-de9e-4842-814d-14506b37f39f,349047481,video,506112,24.37%,2.81%
4401,7b8f05a4-ecc4-40ff-96f4-50a1cf917002,342383151,video,536557,18.87%,2.73%
4403,7ccea16f-e804-499b-83b6-d12de6c11156,298297028,video,669333,3.15%,0.41%
4405,7dcbf711-060e-404d-8bb5-5acbb723e6d8,199904803,video,565602,11.35%,1.26%
4407,7df275fa-ffd3-46de-b9b1-ec58fb5c8131,184824225,video,515079,8.82%,1.34%
4409,7f5c3aaf-8e15-4b08-9f33-d87a90a04937,290762654,video,579555,23.97%,1.47%
4411,7f70f11e-0bb0-46f7-a8e0-463bb8964bf4,242796935,video,509357,28.65%,0.80%
4413,84140ab2-fc6c-46db-8a4f-ebfb77c1fdb9,200586418,video,837326,0.95%,0.26%
4415,847ec15f-94ec-4e53-b25c-0a7aa3aac99c,2005395937,video,824582,4.74%,0.42%
4417,84ca347b-5cbc-4f13-9409-943ca13cedea,322925043,video,981335,36.70%,2.65%
4419,869e715c-2f27-4208-9a1c-f9c0008908b5,294395908,video,545892,10.92%,1.03%
4421,88cc8858-2674-4cc2-a38d-2570110d14de,317663885,video,828009,8.59%,0.92%
4423,8a218e25-3274-4c91-b2d6-a6b43a01a2a6,26891812,video,998568,4.38%,0.58%
4425,8aae81f9-b51e-440f-b641-871ab6e07b6e,230328153,video,650070,0.32%,0.03%
4428,8ce43931-c98d-44c4-b8ff-170791eb92e6,1691102229,video,884130,26.75%,1.77%
4430,8d77aab4-72e3-4f15-98b9-e6dc63a895fc,295265626,video,859404,9.92%,0.51%
4433,8f391490-d2e9-4113-819d-fdb3dcf00184,327119280,video,511208,42.53%,6.12%
4436,905bcf47-5f4a-4c8b-b3ed-b348fd75b271,818475916,video,512247,3.22%,0.50%
4438,90e0823d-d8a9-4b9d-b2c5-2b19f7a3b079,312991827,video,883505,3.49%,0.27%
4440,91894397-98d0-4c27-9464-8f258749f506,273159450,video,967851,8.08%,1.49%
4442,91896329-7dca-40fc-b0c4-8c7b8db75180,2735370456,video,631851,2.57%,0.58%
4444,922ab031-9f48-4829-bf87-ed8a17c7f86e,2295542095,video,920201,11.48%,2.39%
4446,92a194a8-bf20-489c-8a23-8469aee37dd5,1121861713,video,702102,6.55%,0.26%
4448,92c13176-5407-4208-9663-7813f4070582,1072565921,video,672637,7.40%,0.69%
4450,92d29ca6-9a43-403c-a9f6-d2731103d685,651331259,video,907342,5.66%,0.46%
4452,95062bbb-28f6-430a-a59d-a6cd4d6aed2d,259860445,video,841924,34.40%,0.61%
4454,950d97ba-b7d0-4196-917c-bb5846f61a7b,278674896,video,715241,28.59%,2.01%
4456,97c75f67-e27a-4369-bc47-d0bc93d07df6,262934289,video,589052,16.78%,2.15%
4458,97cc5163-1046-4bd1-bcb6-8a3de1f43ab1,144024530,video,678522,7.87%,1.21%
4461,9b7ba17b-1fbd-4d3c-8647-35acc959be1d,234552872,video,569042,7.72%,1.21%
4463,9ba625a9-7643-4816-9987-980b5005f3fc,1549603006,video,832311,9.09%,0.54%
4465,9c92f520-542e-4774-9ca3-901f44302618,625308490,video,734396,16.37%,1.67%
4468,9e2884e6-cea4-4650-94bb-5f933e2734f2,4867784101,video,583159,17.80%,4.89%
4470,9e53123e-fe00-4cfc-ac46-f88f81e97166,283013739,video,816145,3.82%,0.24%
4471,a0a00015-29f9-4292-93ea-9f72a643c5f4,1725470082,video,858061,23.27%,1.47%
4473,a0b7ac9e-4afa-4364-afa4-55e4c1f79fb2,2070267142,video,735139,6.50%,0.80%
4475,a1a8181f-0845-4536-b957-4993a6e1d1e2,1530308378,video,699743,1.06%,0.26%
4477,a4bb987e-534c-45b8-8362-1278818b82e1,1531735601,video,617499,13.61%,2.38%
4479,a51fc0e9-6080-493a-bcf3-7649ff90841f,583291952,video,586717,27.74%,3.72%
4481,a595dfce-f1d5-4f54-82be-c6514424d649,1228513100,video,863648,2.51%,0.52%
4483,a6141407-fe8b-4837-a2e6-6b540f40e5d7,1364614325,video,554301,21.45%,0.89%
4485,a65db14d-8ab9-4a85-8439-485134714a02,41808709,video,752146,24.71%,2.53%
4487,a838d291-48da-498d-8084-ecd1367fe3d8,877993680,video,577073,19.49%,3.39%
4489,aa553f07-4d76-4a48-a6f0-48c732ed3141,29267594,video,729138,0.58%,0.04%
4491,aecd4574-0b8e-4970-b4e8-11cef397837b,174043996,video,709697,5.30%,0.35%
4493,aefd66a7-2530-4eb8-ab91-3876b407750f,246057572,video,693941,5.57%,0.60%
4495,b08324b2-1dfe-4973-9c60-35a8b8f8296d,2266141227,video,597466,20.39%,4.02%
4497,b175d82c-20d7-4b48-a7f4-07f0a8132b4a,384543354,video,693136,1.93%,0.23%
4499,b3a0e5d6-fdfd-47f2-8e14-4462d332087c,181801716,video,759181,3.11%,0.49%
4501,b3dd204b-5949-43c3-bd7b-525b7c34d303,259808198,video,749228,36.30%,2.93%
4503,b4cd43ce-7266-42fb-9bde-1debe292f01e,1235539451,video,545151,10.02%,0.90%
4505,b4e2bfbb-98c6-46e1-a70f-053d686f467a,13015420,video,506138,5.46%,0.62%
4507,b514e7f9-fd7f-4338-81a6-1dd97e7ab21e,30162684,video,675480,1.82%,0.13%
4509,bac90fa6-6981-4928-985b-0be03bfbc134,267253348,video,947611,2.56%,0.50%
4512,bbbc9d0e-f0aa-4ee2-b82e-f89a1b5bb749,176098583,video,509378,0.82%,0.07%
4514,c1ac6d4b-5be1-47d6-90fb-b861aaf48006,1364280651,video,799894,16.20%,1.90%
4516,c2b111b8-604d-4fb7-9dd3-a1c25c945e20,272905566,video,785513,36.10%,1.91%
4518,c5365509-b40c-4add-af19-8fd651339de9,199285596,video,671662,17.63%,1.52%
4519,c7de1375-ee0f-43e3-88f0-b020c41905da,682155497,video,773227,15.04%,1.25%
4521,ca51fe71-c52b-49b0-aa14-0a2aafa01772,47431456,video,656969,5.93%,0.56%
4523,cafc470e-f8cb-463d-a127-468c77b13451,15186716,video,742162,5.10%,0.54%
4525,cb0fca79-3a8d-43bd-8a5c-8a20521ebbec,834065834,video,918168,24.97%,2.98%
4527,cc5e2b67-bd60-4096-9545-bc308fe7a5b6,594424210,video,800050,3.40%,0.49%
4529,cc67a763-907b-4294-9901-6b8d7df23caf,144921515,video,864313,4.65%,0.16%
4531,cc81d428-ba86-4888-93bd-8b1657cef121,1181028732,video,943030,4.99%,0.52%
4533,cead36ac-a6cb-4b87-9884-1dd57ef19dca,445304872,video,918964,17.47%,1.24%
4535,cf3ab7ed-33b8-4123-8ac9-6d5b6a7d1f8d,2022434360,video,643222,16.02%,3.11%
4537,d012c21c-6c3d-4103-a0e4-62a85c885287,4219906435,video,521187,17.21%,2.95%
4539,d0b3aacf-4927-46fb-afde-9c1f99984dc7,216242656,video,715803,27.03%,4.57%
4541,d27998d0-6c27-4be8-8ce3-de746adda6da,1063350021,video,584793,16.45%,1.05%
